0000000,Natalino,125 075 205 052 167
1,Indian Cafe,117 075 205 052 164
2,Manhattan Plaza Cafe,100 086 250 196 191 192 063 111 059 231 224 005 008 075 205 053 165
3,The Stanhope,113 196 193 040 097 224 045 091 075 206 054 168
4,Chez Napoleon,193 092 075 205 052 167
5,Au Mandarin,191 192 063 039 075 205 053 166
6,"Palm Court, The                       ",100 198 010 040 057 071 043 141 008 045 076 205 052 168
7,SUSHISAY,099 198 083 128 077 205 053 167
8,Brasserie,196 193 190 004 132 040 153 156 042 091 092 075 205 052 166
9,Popover Cafe,100 250 111 059 231 156 008 042 068 075 204 052 164
10,107 West,075 204 052 165
11,Le Train Bleu,083 005 045 091 074 205 053 166
12,Bridge Cafe,194 193 010 059 231 005 076 205 053 167
13,Indian Oven,229 117 074 204 052 165
14,Solera,253 198 193 223 076 206 054 168
15,Automatic Slim's,074 204 052 165
16,Freddie & Pepper Pizza,100 086 004 132 182 075 204 050 162
17,LUTECE,080 099 198 196 193 189 191 192 097 091 077 206 054 169
18,Nanni Il Valletto,125 076 205 053 168
19,Mezzogiorno,253 063 125 075 204 053 167
20,Nicola Paone,080 125 075 205 053 168
21,El Rincon de Espa$a,057 071 223 075 205 052 166
22,Rafaella Ristorante,078 208 056 170
23,Fishin Eddie,250 125 212 075 205 053 167
24,Lou G. Siegel,178 129 074 204 051 167
25,Morton's of Chicago,137 253 198 196 242 225 078 208 056 170
26,Jezebel,214 250 197 220 217 075 205 054 167
27,Yellow Rose Cafe,178 007 142 234 220 217 222 074 204 052 165
28,Oceana,193 212 076 206 054 169
29,Grove Street Cafe,075 205 053 166
30,Due,250 063 004 132 224 125 075 205 052 167
31,Neary's,253 083 008 120 225 074 205 052 166
32,El Charro,004 132 223 075 205 052 166
33,Manila,057 071 082 075 205 053 166
34,Marnie's Noodle Shop,083 039 075 204 051 163
35,Garden Cafe,136 005 076 206 053 166
36,Brasserie des Theatres,075 205 053 167
37,Bendix Diner,178 193 156 042 061 068 074 204 052 163
38,Mad.61,253 198 196 242 114 083 059 231 043 005 068 078 208 056 170
39,Harriet's Kitchen,007 017 220 217 074 204 050 163
40,Cal's,253 068 075 205 053 167
41,La Bouillabaisse,092 078 208 056 170
42,Nadine's,004 132 025 068 075 205 053 165
43,Sal Anthony's,125 075 205 053 167
44,San Domenico,080 198 097 141 125 076 206 054 169
45,LA GRENOUILLE,099 198 200 196 193 189 102 191 192 114 097 091 077 207 055 169
46,LE CHANTILLY,099 250 198 196 193 114 091 076 206 054 169
47,Wolf's 6th Avenue Delicatessen,074 204 051 164
48,Mo's Caribbean Bar & Grille,184 193 191 192 242 004 132 057 071 034 078 208 056 170
49,Cafe,026 113 063 092 075 205 053 167
50,Orleans,250 198 242 007 030 047 220 217 075 205 053 165
51,Bellini by Cipriani,193 040 125 076 205 053 168
52,Orso,250 190 125 076 205 053 167
53,Columbia Cottage,039 074 204 051 163
54,Hulot's,229 092 075 205 053 167
55,Cucina di Pesce,086 063 004 132 125 212 075 204 052 164
56,Ryoyu,198 242 128 078 208 056 170
57,Court of Three Sisters,076 205 053 168
58,Violeta's Mexican Restaurant,142 234 078 208 056 170
59,Walker's,250 184 194 010 004 132 057 071 229 008 074 205 053 164
60,La Tour d'Or,196 193 197 091 078 208 056 170
61,Souen,025 246 074 204 052 164
62,Hasaki,025 128 076 205 053 166
63,Zona Rosa,178 191 192 138 142 234 074 204 052 165
64,The Townhouse,193 190 191 192 045 075 205 053 167
65,Caffe Carciofo,242 125 075 205 053 165
66,AN AMERICAN PLACE,080 253 191 192 153 005 007 076 206 054 168
67,Il Gabbiano,198 193 229 125 076 206 052 167
68,Mambo Grill,026 250 004 132 057 071 229 025 212 218 223 244 075 205 053 167
69,Memphis,253 184 194 007 030 047 220 217 075 205 053 167
70,Boonthai,235 074 205 052 165
71,Bistro Cafe,125 078 208 056 170
72,Vince and Eddie's,025 075 205 053 167
73,Poiret,250 193 092 075 205 053 167
74,Caffe Cielo,253 125 075 205 053 167
75,Keens Chop House,196 193 248 059 231 008 225 075 205 053 167
76,City Cafe,224 025 005 075 205 052 167
77,El Parador Cafe,142 234 075 205 052 166
78,Wong Kee,039 076 204 050 163
79,TSE YANG,253 198 196 193 190 059 231 039 076 206 054 168
80,La Frontera,242 057 071 025 142 234 075 205 053 166
81,Cafe Andrusha,113 193 197 059 231 049 116 202 075 205 052 166
82,Frutti di Mare,125 212 075 205 052 165
83,Il Menestrello,198 193 125 076 206 053 168
84,CHANTERELLE,253 099 196 193 097 091 077 207 054 169
85,Westside Cafe,248 039 075 204 052 164
86,Balbek,193 191 192 242 059 231 057 071 134 143 078 208 056 170
87,Appetito,125 075 205 052 166
88,Kan Pai,083 128 075 205 052 165
89,Denino's Tavern,182 076 204 051 164
90,Moonrock,242 004 132 008 042 078 208 056 170
91,Tony Roma's,100 086 178 004 132 008 017 074 204 051 165
92,Ponte's,075 205 052 168
93,The Plaza Oyster Bar,040 212 075 205 053 167
94,Il Tinello,196 229 125 076 206 053 168
95,I Tre Merli,026 080 184 102 191 192 063 004 132 114 125 075 204 053 167
96,Mission Grill,242 025 031 142 234 075 205 052 165
97,Mary's Restaurant,004 132 248 125 075 205 053 166
98,Back Porch,178 125 074 204 052 165
99,L'Acajou,193 025 092 075 205 052 167
100,Cafe St. John,224 005 092 075 205 053 166
101,Frank's Restaurant,253 194 191 192 010 197 125 225 075 205 052 167
102,Le Refuge,250 200 193 063 092 076 205 053 168
103,Veselka,156 042 240 075 204 051 163
104,Old Homestead,250 010 059 231 229 225 075 205 052 168
105,HUDSON RIVER CLUB,099 198 196 193 189 191 192 097 057 071 224 007 076 206 055 168
106,Il Cortile,250 193 004 132 125 076 205 054 167
107,Aria,196 191 192 059 231 125 075 205 053 167
108,Asia,198 196 191 192 083 025 039 060 118 128 130 139 235 075 205 053 166
109,Arqua,250 191 192 025 025 125 076 205 053 168
110,Cafe Baci,242 125 075 205 052 166
111,Piccola Venezia,248 229 125 076 206 052 167
112,Bella Mama,125 075 205 052 165
113,Sunny East,136 039 076 205 053 167
114,Cafe des Sports,229 092 075 205 052 167
115,Scoop,196 193 125 075 205 052 167
116,Il Cantinori,063 125 076 205 054 168
117,Stingy Lulu's,184 197 004 132 008 042 061 078 208 056 170
118,The Oak Room and Bar,250 198 196 194 010 040 008 075 206 054 168
119,44,184 193 190 102 191 192 040 224 005 091 075 204 054 168
120,Bright Food Shop,086 039 142 234 075 204 052 164
121,New Prospect Cafe (Bklyn.),224 005 068 075 205 052 165
122,The Small Cafe,040 005 075 205 053 167
123,Sido Abu Salim,250 143 075 204 051 165
124,Sichuan Palace,193 039 075 205 053 167
125,Aperitivo,125 075 205 052 168
126,Amici Miei,191 192 063 125 074 204 053 166
127,Felidia,080 198 097 125 076 206 054 169
128,Cafe Nicholson,200 196 191 192 008 075 206 054 168
129,Gonzalez y Gonzalez,057 071 138 142 234 074 204 052 165
130,TAVERN ON THE GREEN,057 071 074 205 055 168
131,RIVER CAFE %10>),080 099 250 200 193 191 192 063 114 153 057 071 224 005 076 206 055 169
132,Cafe Espa$ol,223 075 205 052 165
133,LE CIRQUE,080 099 198 189 102 191 192 114 040 097 091 077 206 054 169
134,Peter Hilary's,184 248 045 120 074 205 052 165
135,Planet Hollywood,026 100 253 099 086 250 178 184 102 191 192 004 132 007 104 074 204 054 165
136,La Vieille Auberge,229 092 075 205 053 167
137,La Rivista,229 125 075 205 052 167
138,Genji,004 132 128 075 204 052 165
139,BTI,022 118 235 075 204 052 164
140,Fiori,125 074 204 053 165
141,The Black Sheep,250 200 193 191 192 248 224 008 075 205 053 167
142,Va Bene,250 125 129 075 205 053 167
143,Cafe Greco,250 193 140 075 205 053 166
144,Benvenuti Ristorante,125 075 205 053 167
145,Koo Koo's Bistro,004 132 005 092 074 204 052 166
146,Japonica,250 059 231 025 128 076 205 053 166
147,San Martin's,250 193 190 063 059 231 125 140 223 075 205 052 168
148,L'Incontro,242 125 075 205 053 167
149,Century Cafe,005 031 075 205 052 166
150,Alcala,191 192 248 001 025 223 075 204 053 167
151,La Colombe d'Or,250 198 200 193 191 192 092 076 205 053 168
152,Benito I,075 205 052 166
153,Yuka,250 248 128 075 205 051 165
154,Luxe,005 068 076 205 054 169
155,Fine & Schapiro,059 231 229 058 129 074 204 051 164
156,America,100 253 086 250 178 184 193 102 191 192 153 059 231 057 071 141 008 068 074 204 052 165
157,RUSSIAN TEA ROOM,099 113 250 198 200 193 190 102 191 192 010 153 059 231 037 202 075 205 054 168
158,CARMINE'S,086 250 102 059 231 125 075 205 052 165
159,Akbar,229 117 075 205 053 166
160,Brio,125 075 205 053 167
161,LE BERNARDIN,253 099 198 196 193 191 192 091 212 077 206 055 169
162,Kodnoi,248 001 235 074 204 052 165
163,101 Seafood,125 212 075 205 053 166
164,Kom Tang Soot Bul House,136 001 130 075 204 051 165
165,Nello,063 125 074 204 052 167
166,Le Comptoir,250 193 092 075 205 053 168
167,Nippon,198 059 231 001 128 076 206 053 168
168,New World Coffee,242 043 176 078 208 056 170
169,Les Sans Culottes,193 229 092 075 205 052 167
170,Cafe Nosidam,242 005 125 078 208 056 170
171,Thai House Cafe,059 231 235 076 205 051 165
172,Fourteen (fka Quatorze),250 193 005 078 208 056 170
173,Trattoria Pesce Pasta,250 242 125 078 208 056 170
174,Picholine,198 196 242 140 078 208 056 170
175,T-Rex,242 004 132 057 071 007 068 078 208 056 170
176,Paul & Jimmy's,229 125 075 205 052 167
177,Il Gattopardo,113 125 075 205 053 167
178,Moroccan Star,197 242 248 140 144 075 205 052 164
179,Caffe BiondoX,063 043 125 075 205 052 165
180,Miss Ellie's Homesick Bar & Grill,063 229 008 125 074 205 053 165
181,Trattoria dell'Arte,250 193 190 191 192 004 132 153 083 059 231 125 076 205 054 167
182,Buckaroo's,184 194 004 132 007 017 222 074 204 052 164
183,OYSTER BAR,080 253 099 198 189 010 059 231 212 076 204 052 167
184,Pasta Vicci,125 179 074 204 051 164
185,Banana Cafe,184 102 191 192 004 132 153 057 071 025 005 020 075 204 053 167
186,Opus II,250 193 242 225 078 208 056 170
187,Vix Cafe,184 242 057 071 005 078 208 056 170
188,Nirvana,198 196 193 191 192 197 004 132 117 078 208 056 170
189,Pietro & Vanessa,063 125 075 205 052 166
190,Wollensky's Grill,080 250 194 063 114 104 106 225 076 205 053 167
191,Ci Vediamo,184 063 125 078 208 056 170
192,Chez Ma Tante,253 250 193 063 092 075 205 053 167
193,Red Lion,004 132 057 071 070 074 204 052 164
194,Lupe's East L.A. Kitchen,100 086 142 234 075 204 051 164
195,Sarabeth's,086 250 083 059 231 043 224 156 008 042 173 176 075 205 053 166
196,Pinocchio,004 132 125 075 205 053 167
197,PERIYALI,099 103 076 206 054 168
198,Pamir,250 059 231 002 075 205 053 166
199,Angelica Kitchen,111 005 243 075 204 052 164
200,WINDOWS ON THE WORLD,099 005 078 208 056 170
201,Jean Claude,092 075 204 052 167
202,DAWAT,099 250 198 193 059 231 117 076 205 053 167
203,Ferrara,063 043 229 125 176 078 208 056 170
204,Tibetan Kitchen,236 075 204 051 164
205,Sevilla,250 004 132 059 231 223 075 204 052 166
206,Puket,235 075 205 052 166
207,Ratner's,010 059 231 156 129 075 204 051 165
208,Woo Chon,136 001 130 076 204 052 166
209,Old Bermuda Inn,136 193 010 248 045 076 205 054 167
210,Gingertoon,229 229 235 075 204 052 165
211,Josephina,100 111 005 008 075 205 053 167
212,Tre Scalini,125 076 205 053 168
213,Sharkey's,008 074 205 052 166
214,The Pie,001 075 205 052 165
215,Sammy's Roumanian,197 129 075 204 051 167
216,MONTRACHET,080 099 250 198 193 191 192 097 091 076 206 053 169
217,John's of 12th Street,125 075 205 052 165
218,Silver Palace,039 060 075 204 052 164
219,Soleil,242 031 068 092 076 205 053 167
220,Bistro 790,193 040 229 005 140 074 205 052 166
221,Cabana Carioca,197 020 218 075 204 051 165
222,Amir's Falafel,086 143 075 204 051 163
223,El Pollo,100 086 197 059 231 075 204 051 163
224,La Strada,026 004 132 229 125 075 205 052 167
225,La Strada,026 004 132 125 075 205 052 166
226,Raymond's Cafe,045 092 075 205 052 166
227,Aggie's,100 086 224 156 229 007 008 042 075 204 051 163
228,H.S.F.,100 039 060 075 204 052 165
229,Cedars of Lebanon,004 132 057 071 134 143 075 204 051 165
230,Zephyr Grill,040 005 104 075 205 053 167
231,El Quijote,004 132 212 223 225 075 205 052 166
232,Benihana of Tokyo,026 100 191 192 128 078 208 056 170
233,Zula,250 248 072 075 205 052 164
234,Coco Lezzone,242 125 078 208 056 170
235,Alison on Dominick Street,250 200 193 097 005 092 140 076 206 054 168
236,Jekyll & Hyde,178 194 004 132 248 057 071 070 106 074 204 054 164
237,Our Place,253 193 039 060 075 205 052 166
238,Etats-Unis,253 198 191 192 063 114 097 005 068 078 208 056 170
239,Vong and Kwong,001 075 204 051 166
240,Mr. Chow,039 076 205 054 168
241,Mulholland Drive Cafe,178 005 074 204 052 166
242,Broadway Diner,100 253 178 004 132 008 061 074 204 052 164
243,El Teddy's,184 191 192 004 132 025 138 142 234 075 204 053 166
244,Cafe Pierre,193 040 111 156 141 091 076 206 054 168
245,R.H. Tugs,063 004 132 057 071 068 075 205 053 165
246,Palio,080 253 196 194 193 191 192 125 076 206 054 169
247,Sarashina,242 128 078 208 056 170
248,Casa La Femme,004 132 140 074 204 053 167
249,Rio Mar,025 223 075 204 051 165
250,Shark Bar,184 191 192 004 132 059 231 057 071 220 217 075 205 052 166
251,Conservatory Cafe,040 083 156 008 074 204 052 166
252,Il Nostro,193 125 140 075 204 052 165
253,Antico Caffee,253 184 125 075 204 052 164
254,Odessa,156 042 202 078 208 056 170
255,Carino,125 075 205 052 165
256,Jack's Place,229 008 106 074 204 052 165
257,J. Sung Dynasty,193 040 057 071 039 075 205 053 167
258,HATSUHANA,026 198 193 248 083 059 231 128 076 205 053 167
259,Paper Moon Milano,025 125 075 205 053 167
260,Empire Diner,100 086 250 178 191 192 063 004 132 083 057 071 043 224 156 008 061 074 204 052 164
261,Le Bouchon,214 193 242 092 078 208 056 170
262,One Fifth Avenue,253 198 242 005 212 076 205 053 168
263,Pedro Paramo,059 231 142 234 075 205 052 165
264,Santa Fe,138 142 234 075 205 053 167
265,Zachary's,190 242 004 132 229 005 031 075 204 052 167
266,Casa Di Pre,198 125 074 205 052 165
267,Nick & Eddie,250 200 005 008 068 075 205 053 167
268,Silverado,086 184 111 031 222 076 205 053 167
269,National,191 192 004 132 057 071 202 074 204 052 167
270,Le Madeleine,063 092 075 205 053 167
271,Cooper's Coffee Bar,063 242 059 231 043 156 176 075 204 053 162
272,Wally's and Joseph's,075 205 052 168
273,Ying,111 057 071 229 025 039 075 205 052 165
274,Day-O,004 132 001 034 074 204 052 165
275,Museum Cafe,250 178 004 132 083 008 074 204 052 165
276,SONIA ROSE,198 200 193 068 076 206 054 168
277,Mitsukoshi,196 128 076 205 053 168
278,Cafe Luxembourg,250 193 190 224 005 091 075 205 053 168
279,The Sea Grill,253 099 193 190 191 192 063 008 212 076 206 054 168
280,Dojo,004 132 128 078 208 056 170
281,Papaya King,086 004 132 008 089 075 203 050 162
282,Tang Tang,100 039 075 204 051 164
283,Zucchini,250 111 008 068 243 074 204 052 165
284,Snaps,193 001 210 076 205 054 167
285,Les Pyrenees,193 248 092 075 205 053 167
286,Cafe Melville,005 078 208 056 170
