0000000, Carnegie Deli,100 086 250 252 174 040 036 008 058 074 204 051 163
1,Elysium,099 250 252 196 193 190 174 040 248 024 224 005 078 208 056 170
2,PEKING GOURMET INN,253 250 252 191 192 174 114 025 039 076 206 053 165
3,Tia Queta,253 250 252 191 192 063 142 209 075 205 053 165
4,Notte Luna,253 086 250 184 102 174 063 125 182 075 205 053 166
5,The Grill from Ipanema,253 250 184 193 190 197 224 020 075 205 054 165
6,Georgia Brown's,253 250 189 102 174 114 057 071 024 224 005 220 076 205 054 166
7,Falls Landing,250 198 245 191 192 174 063 248 059 231 024 045 212 076 206 053 166
8,Phillips Seafood Grill,253 250 149 062 174 063 224 074 204 052 165
9,Sunny Garden,253 250 136 252 174 025 039 060 076 205 051 163
10,MORTON'S OF CHICAGO,137 253 099 250 189 191 192 174 114 059 231 036 024 225 076 206 054 168
11,Cafe Bethesda,254 150 198 193 190 174 063 059 231 005 092 212 076 205 053 167
12,Fern Street Bistro,253 068 078 208 056 170
13,Sakura Palace,253 250 193 190 174 001 128 076 205 053 165
14,KINKEAD'S,253 099 250 252 245 062 102 191 192 174 063 242 083 084 087 059 231 024 224 025 005 212 232 076 206 054 167
15,Garden Cafe,250 136 193 190 063 040 084 087 059 231 024 224 025 005 007 076 206 053 166
16,Sam & Harry's,080 253 099 184 189 191 192 174 059 231 057 071 024 008 212 225 076 206 054 167
17,Donatello,250 193 062 190 174 063 059 231 125 076 206 053 166
18,Cafe Petitto,250 252 149 004 224 125 182 075 205 052 164
19,Tragara,080 253 099 250 193 191 192 174 024 123 076 206 054 167
20,Hamburger Hamlet,026 100 253 086 250 252 149 194 174 063 224 008 107 075 205 052 163
21,New Heights,250 174 063 059 231 036 224 005 076 206 054 167
22,Vietnam Georgetown,250 150 063 246 075 205 052 165
23,Panjshir,253 250 252 174 036 025 002 076 206 053 164
24,Lebanese Taverna,253 250 150 252 149 174 063 036 143 076 205 053 165
25,COEUR DE LION,113 250 252 200 245 196 193 189 174 040 111 083 059 231 057 071 024 224 005 076 206 055 167
26,I Matti,253 250 252 245 102 191 192 174 114 036 224 125 123 182 076 205 053 166
27,Il Radicchio,100 254 086 250 252 242 125 182 076 205 053 164
28,Duangrat's,250 252 245 191 192 174 063 057 071 036 235 076 206 054 165
29,Haandi,253 250 252 149 174 117 076 206 053 165
30,American Cafe,100 253 250 252 062 174 063 004 059 231 224 005 074 204 052 164
31,Primi Piatti,253 099 250 189 191 192 174 063 059 231 123 076 205 054 166
32,J. Paul's,250 184 149 194 062 102 191 192 004 059 231 224 008 107 212 075 205 053 164
33,Patisserie Cafe Didier,253 113 250 252 149 174 083 059 231 043 036 156 016 092 076 205 053 164
34,Crystal Thai,253 250 150 252 174 235 076 205 053 164
35,Tachibana,174 128 076 206 053 165
36,TooJay's,253 250 150 252 174 063 036 224 156 058 075 204 051 163
37,Le Refuge,252 193 190 092 076 206 053 166
38,Houston's,026 100 253 086 250 184 252 149 194 102 174 114 008 017 107 075 205 053 164
39,Pines of Rome,254 250 198 252 125 078 208 056 170
40,Star of Siam,026 253 250 252 063 235 075 205 052 164
41,The Frog and the Redneck,150 193 174 059 231 007 077 206 054 167
42,Allegro,113 250 252 193 174 040 083 059 231 057 071 024 021 224 005 076 206 054 166
43,Bangkok Orchid,250 252 063 021 235 075 205 052 164
44,Matuba,254 086 250 150 174 128 076 205 052 164
45,Queen Bee,254 253 250 252 149 174 246 076 205 052 164
46,Planet Hollywood,026 253 178 086 250 252 149 174 242 004 059 231 005 068 107 074 205 054 164
47,Sea Catch,253 252 193 190 191 192 174 063 248 212 076 205 054 167
48,Ciao baby Cucina,253 253 250 184 245 193 190 102 191 192 174 242 114 059 231 024 021 125 123 075 205 054 166
49,INN AT LITTLE WASHINGTON,011 080 099 250 150 200 193 189 191 192 174 063 040 248 084 087 005 007 077 207 055 169
50,PESCE,254 253 250 252 149 242 114 059 231 005 092 123 076 205 052 166
51,Il Forno,100 254 253 250 150 252 149 174 063 182 075 205 051 163
52,Oval Room,253 099 189 102 174 242 024 005 078 208 056 170
53,Jaimalito's,253 086 250 184 252 102 191 192 174 063 059 231 229 142 209 222 074 204 053 164
54,America,100 253 250 184 252 102 191 192 174 063 004 059 231 224 008 074 205 053 164
55,Music City Roadhouse,100 253 250 252 149 193 191 192 174 063 197 242 010 057 071 036 224 008 220 078 208 056 170
56,Bangkok Gourmet,250 150 193 174 063 025 090 235 076 205 052 164
57,Rupperts,189 102 174 197 242 114 010 084 087 059 231 024 005 078 208 056 170
58, Le Gaulois,252 191 192 111 248 059 231 092 093 076 205 053 166
59,Le Vieux Logis,253 150 174 093 076 206 053 167
60,Mixtec,254 250 252 149 191 192 001 001 142 209 075 204 051 163
61,La Colline,080 253 099 184 193 189 102 191 192 174 063 114 111 059 231 036 156 092 076 206 053 167
62,Persepolis,253 250 252 149 191 192 174 036 021 229 143 075 205 052 164
63,Warehouse Bar & Grill,250 184 252 191 192 059 231 224 156 008 030 047 212 076 205 053 166
